Company_Brand,Sector,Stage,Amount,HeadQuarter,What_it_does,year_founded,Investor
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology,2018,Unknown
Kriger Campus,E-learning,Seed,420000.0,New Delhi,A Education Start Up.,2018,Inflection Point Ventures
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends,2018,Unknown
Kaleidofin,Finance,Seed,2800000.0,Chennai,A fintech platform.,2018,"3one4 Capital, Kalaari Capital"
Chakr Innovation,CleanTech,Seed,,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators.,2018,Blue Ashva Capital
IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community.,2018,Unknown
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,560000.0,India,UClean is a tech enabled laundry service provider.,2018,Unknown
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,The Fashion Re-commerce platform.,2018,Unknown
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.",2018,Unknown
Pooltoo,Logistics,Seed,,New Delhi,Pooltoo offers a premium ride sharing platform.,2018,Undisclosed
Finzy,"Financial Services, Lending",Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India.,2018,Unknown
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey,2018,Unknown
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,,Pune,Building an Intelligent Digital Assistant.,2018,Unknown
Tolet for Students,Hospitality,Seed,70000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.",2018,Hindustan Media Venture
Chai Kings,"Food and Beverage, Tea",Seed,280000.0,Chennai,Chai Kings is a tea retail chain,2018,Unknown
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,560000.0,Kanpur,Dainik Jagran is a media and communications group.,2018,Unknown
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,280000.0,Bangalore,Playtoome is a live entertainment destination,2018,Unknown
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider.,2018,Unknown
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,175000.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep.,2018,Unknown
Arogya MedTech,"Health Care, Medical",Seed,210000.0,Kolkata,Arogya MedTech is a Research & Development organization in Bio-Medical industry.,2018,Unknown
Propshop24,E-Commerce,Seed,500000.0,Mumbai,"Propshop24, a one-stop shop for a handpicked selection of 'fun'tastic products from around the world.",2018,Unknown
myUpchar,"Health Care, Hospital, Wellness",Series A,5000000.0,New Delhi,To bring health issues to people in their language.,2018,Unknown
MissMalini Entertainment,—,Seed,1456000.0,Mumbai,"MissMalini Entertainment is a multi-platform new media network dedicated to Entertaining, Connecting & Empowering young Indians.",2018,Unknown
Rooter,Sports,Seed,630000.0,India,Rooter is a mobile-based platform,2018,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global"
ZestMoney,"Big Data, Consumer Lending, FinTech",Series A,13400000.0,Bangalore,Zest is India's first completely automated consumer digital lending platform.,2018,Unknown
alphaics Corporation,"Cloud Computing, Computer, Semiconductor",Seed,,Bangalore,Advancing AI compute,2018,Unknown
MyDentistChoice,"Health Care, Medical, Pharmaceutical",Seed,500000.0,Hyderabad,MyDentistChoice is a direct sales and distribution of dental equipment and accessories from top name manufacturers,2018,Unknown
Sattviko,"Food Processing, Retail",Angel,,New Delhi,Sattviko fosters wellness and shares Indianness through the Sattvik way of cooking that is wholesome and tasty!,2018,Unknown
Sensibull,Trading Platform,Seed,350000.0,Bangalore,Investment Management Platform,2018,Unknown
Bombay Shaving Company,"Consumer Goods, Lifestyle, Men's",Series A,,New Delhi,Bombay Shaving Company is a Men's grooming startup,2018,Unknown
MedCords,Wellness,Seed,369600.0,Pune,Medcords is India’s first holistic healthcare ecosystem on a cloud platform that makes health management easier,2018,Unknown
University Living,E-learning,Seed,,New Delhi,University Living is an online global student housing marketplace.,2018,Inflection Point Ventures
&ME,"Food and Beverage, Food Processing, Nutrition",Seed,,Bangalore,Food and Beverage startup focussing on developing products using ayurveda with modern science for women empowerment and fitness.,2018,Unknown
Enakshi,Fashion,Seed,112000.0,Ahmedabad,Enakshi is an online apparel brand for women.,2018,"Accel, Alteria Capital"
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",Series A,840.0,Bangalore,Ultraviolette is a startup working on electric two-wheelers and energy infrastructure.,2018,Unknown
Inthree Access,"Consulting, Retail, Social",Series A,4000000.0,Chennai,Inthree Access is an impact venture that connects the most inaccessible rural markets with products that can transform lives in Rural India.,2018,Unknown
BUGWORKS Research India,"Biotechnology, Life Science, Pharmaceutical, Product Research",Series A,9000000.0,Bangalore,BUGWORKS is a drug discovery company.,2018,Unknown
Guardian.in,Health,Seed,,Mumbai,GNC is a leading global specialty retailer of health and wellness products that takes pride to be the world's largest company,2018,"Avaana Capital, Orios Ventures"
PrestLoans,"Credit, Financial Services, FinTech, Personal Finance",Seed,100000.0,New Delhi,"PrestLoans New age tech driven RBI regd NBFC helping businesses by providing easy, quick n hassle free loans.",2018,Unknown
Wimoxez,Internet,Seed,20000.0,Hyderabad,"Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.",2018,Axilor
India Accelerator,"Communities, Coworking, Incubators",Angel,,Gurgaon,India Accelerator runs mentorship-driven incubation and acceleration programs for start ups.,2018,Unknown
HappyEMI,"Consumer, Financial Services, FinTech",Seed,1000000.0,Bangalore,HappyEMI is a point of sale digital lending platform that helps consumers finance their purchases in-store and online,2018,Unknown
Wishup,"Consumer Applications, Information Services, Location Based Services, Virtual Assistant",Seed,,Azadpur,Premium Personal Assistance service,2018,Unknown
Hansel.io,"Mobile, Mobile Apps, Personalization, Test and Measurement, Web Apps",Series A,4000000.0,Bangalore,"Hansel, a mobile app management platform, provides the infrastructure that companies need, in order to personalize product experiences.",2018,Unknown
Propelld,"Education, Financial Services, FinTech",Seed,250000.0,Bangalore,Propelld is a student education financing platform.,2018,Unknown
PivotRoots,"Advertising, Consulting, Digital Marketing",Series A,,Mumbai,Digital Marketing powered by Data & Technology; fueled by Design thinking,2018,Unknown
ZiffyHomes,"Marketplace, Real Estate, Rental Property",Seed,120000.0,New Delhi,ZiffyHomes is a technology driven marketplace to find out home on rent.,2018,Unknown
Carmesi,Health,Seed,476000.0,Gurgaon,Carmesi is a brand of high-end menstrual-hygiene products in India.,2018,"Avaana Capital, Orios Ventures"
OckyPocky,"E-Learning, Internet, Video Games",Angel,,Haryana,OckyPocky is a interactive and personalised language learning app for preschool kids.,2018,Unknown
Racetrack,"Artificial Intelligence, Cloud Computing, Video",Seed,4788000.0,Bangalore,"Racetrack is a sales and support-focused AI-driven platform designed for education, real estate, and e-commerce sectors.",2018,Unknown
WHR,"Health Care, Information Technology",Seed,143145.0,Pune,"WHR is to make affordable healthcare a reality for all. Our vision is to make healthcare services easier, better and more accessible.",2018,Unknown
Asteria Aerospace,Aerospace,Seed,,Bangalore,Asteria Aerospace is a robotics and artificial intelligence company.,2018,Unknown
FabAlley,"E-Commerce, Fashion, Lifestyle",Series B,8400000.0,Noida,"FabAlley is the ultimate Indian fashion destination for fashion-forward, indie-chic girls. Founded in 2012, Tanvi Malik and Shivani Poddar",2018,Unknown
Tranzmeo,"Artificial Intelligence, Business Intelligence, Industrial Automation, Machine Learning",Pre-Seed,,Cochin,Tranzmeo Connect : is A Complete Comprehensive Anomaly forensic Solution with Actionable Insights.,2018,Unknown
SBI Life,Insurance,Private Equity,742000000.0,Mumbai,SBI Life is one of the life insurance company that offers a range of life insurance plans and policies to protect you and your family.,2018,"9Unicorns, ZNL"
Studds Accessories,E-Commerce,Private Equity,14000000.0,Faridabad,Studds Accessories is a scooter accessories service provider in India,2018,Unknown
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",Series B,28000000.0,Bangalore,"Design + Execution Organization that delivers beautiful & innovative designs for Home Interiors, in any budget.",2018,Unknown
NoPaperForms Solutions Pvt. Ltd.,"EdTech, Education, Information Services, SaaS",Series B,3980000.0,New Delhi,"NoPaperForms is a marketing automation, lead nurture and enrolment management platform for educational institutions",2018,Unknown
Rays Power Infra,"Energy, Solar",Series B,28000000.0,Jaipur,Rays Power Infra is a leading integrated Solar Power Company.,2018,Unknown
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,10000.0,Gurgaon,"SaaS, B2B, Security, Stop account sharing, Fraud Detection",2018,Unknown
Khidki,"Artificial Intelligence, Social",Seed,,Bangalore,Vernacular Social Network Focused on Town Level Content and Interactions,2018,Unknown
LetsTransport,"Logistics, Transportation, Travel",Series B,14000000.0,Bangalore,Lets transport is a logistics solution provider.,2018,Unknown
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",Angel,1400.0,Kota,Next Digital Solutions is website design & Digital Marketing development company.,2018,Unknown
Portea Medical,"Health Care, Hospital, Medical",Debt Financing,3500000.0,Bangalore,Portea Medical is the largest and fastest growing provider of in-home medical care in India today with a 24-city network.,2018,Unknown
Aavas Financiers,"Finance, Financial Services",Post-IPO Debt,28000000.0,Jaipur,"Aavas Financiers is engaged in the business of providing housing loans, primarily in the un-served, unreached and under-served market.",2018,Unknown
Swiggy,"Food Delivery, Food Processing, Internet",Series H,1000000000.0,Bangalore,Swiggy is a food ordering and delivery company that provides food service solutions for restaurants.,2018,Unknown
Milkbasket,"E-Commerce, Food and Beverage, Internet",Series A,7000000.0,Haryana,"Milkbasket delivers milk, bread, eggs, butter, juices and other daily need items, every morning, right at your doorstep, free of charge.",2018,Unknown
Nutrisattva (Proliva),"Fitness, Food and Beverage, Health Care, Nutrition",Angel,,Anand,Nutrisattva is a protein innovation compan,2018,Unknown
Toppr,"EdTech, Education, Knowledge Management",Series C,35000000.0,Mumbai,Toppr.com is an online preparation platform for entrance exams in India.,2018,Unknown
Jagaran Microfin,—,Debt Financing,7700000.0,Kolkata,Jagaran Microfin is a Microfinance institution which achieves a healthy amalgamation of social and financial,2018,Unknown
Vivriti Capital,Finance,Series B,28500000.0,Chennai,Vivriti Capital is an online platform for institutional debt in India.,2018,"3one4 Capital, Kalaari Capital"
Be U Salons,"Apps, Beauty, Consumer, Retail",Seed,420000.0,New Delhi,Be U is India's first subscription based Salon Chain.,2018,Unknown
Impact Guru,"Creative Agency, Crowdfunding, EdTech, Health Care, Internet, Medical, Non Profit, Personal Health",Series A,2000000.0,Mumbai,"We're a Harvard incubated crowdfunding platform for nonprofits, social enterprises, startups and individuals.",2018,Unknown
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",Series E,3360000.0,Gurgaon,MobiKwik is a payments backed fintech platform in India. MobiKwik App offers instant loans & investment products to the 500M masses of India,2018,Unknown
Stones2Milestones,"E-Learning, Education, Higher Education",Seed,,Gurgaon,Stones2milestones is a Gurgaon Based Learning Company.,2018,Unknown
Generico,"Health Care, Medical, Pharmaceutical",Series A,,Mumbai,Generico is the fastest growing specialized pharmacy retail chain of Generic medicines.,2018,Unknown
Adiuvo Diagnostics,Health Diagnostics,Seed,,Chennai,Adiuvo Diagnostics is a medical diagnostic device company based in India.,2018,Unknown
DataTrained,"EdTech, Education",Seed,1680000.0,Bangalore,"DataTrained is a educational platform, which operates an ed-tech startup on data science",2018,Unknown
OneAssist,"Financial Services, SaaS, Security",Debt Financing,2400000.0,Mumbai,OneAssist is a protection & assistance services platform.,2018,Unknown
Satin Creditcare Network Limited (SCNL),"Banking, Finance, Financial Services, Non Profit",Post-IPO Debt,30000000.0,New Delhi,Satin is a non-banking finance company providing individual loans to urban shopkeepers.,2018,Unknown
APAC Financial Services,"Finance, Financial Services",Private Equity,35000000.0,Mumbai,APAC Financial Services is a financial services platform.,2018,Unknown
Moglix,"B2B, E-Commerce, Mobile",Series C,23000000.0,Noida,"Moglix is a supplier of industrial tools like hand tools, power tools, electrical, and safety equipment.",2018,Unknown
SEDEMAC Mechatronics,"Automotive, Electric Vehicle, Renewable Energy",Series B,,Mumbai,SEDEMAC Mechatronics is technology company that distributes control-intensive products for automobiles.,2018,Unknown
MadGuy Labs,E-learning,Series B,150000.0,Hyderabad,MadGuy Labs is a Online Test-prep Platform.,2018,Inflection Point Ventures
Dee Dee Labs,"Embedded Systems, Health Care, Medical, Product Research",Seed,,Pune,Dee Dee Labs is design and development lab with a primary focus on the development of next generation of bionic prostheses.,2018,Unknown
FLEECA,—,Seed,,Jaipur,FLEECA is a Tyre Care Provider company.,2018,Unknown
Shop101,"Apps, E-Commerce, Internet",Series B,11000000.0,Mumbai,#1 Online Selling App. India’s leading social commerce platform. Setup free online store in 2 min. Sell own goods or resell Shop101 Supply.,2018,Unknown
FeedMyPockets,"Advertising, Human Resources, Marketing",Seed,616000.0,Bangalore City,On Demand Staffing Platform,2018,Unknown
Housejoy,"Beauty, Fitness, Home Services, Internet",Series B,3240000.0,Bangalore,Housejoy is a web-based platform that allows individuals to browse and book service providers for their homes.,2018,Unknown
Ambee,"Health Care, Medical Device, Public Safety",Angel,,Bangalore,Ambee is an Environment analytics startup.,2018,Unknown
FoodBuddy,"Food Delivery, Online Portals, Restaurants",Seed,840000.0,Belgaum,"FoodBuddy is a online food delivery portal, providing boundary breaking delivery.",2018,Unknown
Ninjacart,"AgTech, B2B, Supply Chain Management",Series B,35000000.0,Bangalore,Ninjacart is a B2B agri-marketing platform that connects vegetables and fruits farmers directly with businesses.,2018,Unknown
Olly Smart Credit Card,"Credit Cards, Finance, Mobile Apps, Mobile Payments, Payments",Seed,,New Delhi,Olly is a digital credit card for India's working masses and young people.,2018,Unknown
Zestl,Software,Seed,,Pune,"No-Code Workflow Automation. Build enterprise applications in days with AI, Cognitive Automation, Collaboration and more built in.",2018,Kalaari Capital
BYJU’S,"EdTech, Education, Higher Education, Secondary Education",Private Equity,540000000.0,Bangalore,BYJU’s is an edtech company that is reinventing how students learn through its learning app.,2018,Unknown
Wakefit,"Manufacturing, Retail",Series B,9100000.0,Bangalore,Wakefitkart is a mattress manufacturing company. We manufacture the best quality mattresses at affordable prices.,2018,Unknown
Hero Electric,Manufacturing,Series B,22400000.0,New Delhi,"Hero Electric, a 100% subsidiary of the Hero Group, is a pioneer in the Indian Electric Vehicle Industry.",2018,"Blume Ventures, Tetrao"
Pentation Analytics,"Information Services, Information Technology, InsurTech",Seed,,Mumbai,Pentation as an Insurtech enables insurers and intermediaries with our Insurance Analytics Suite- an Insurance specific AI/ML Software Suite,2018,Unknown
PerkFinance,"Consumer Lending, FinTech",Seed,900000.0,Bangalore,PerkFinance partners with employers to provide affordable loans to their employees at no cost to the company,2018,Unknown
Roposo,"Internet, Social Network, TV",Series C,10000000.0,Gurgaon,Roposo - TV by the People is a unique social media platform where people express visually with homemade videos and photos.,2018,Unknown
Plum Goodness,"Beauty, Health Care",Series A,,Thane,Plum Haircare Is Silicone-Free & Sulphate-Free. Designed For Damaged & Dandruff-Free Hair,2018,Unknown
Drstore,Hospital,Seed,,Mumbai,Drstore is a exclusive e- commerce platform.,2018,Unknown
Wow Venue,Events,Series B,1500000.0,Mumbai,Wow Venue is an online platform.,2018,Unknown
Chizel,"3D Printing, Manufacturing, Product Design",Seed,,Pune,Chizel is a worlds most advanced cloud platform for on-demand manufacturing in 3D Printing and CNC Machining,2018,Unknown
OTO Capital,Automotive,Seed,700000.0,Mumbai,OTO Capital is a platform that allows you to own a car faster than ever.,2018,"Falcon Edge, Softbank"
Boodmo,"Automotive, Retail",Seed,980000.0,Gurgaon,boodmo.com - large online marketplace for auto parts in India.,2018,Unknown
Khabri,"Apps, Audio",Seed,,Haryana,Khabri is a digital audio platform for content in vernacular.,2018,Unknown
MyNewCar.in,"Automotive, E-Commerce",Series B,1000000.0,Gurgaon,MyNewCar.in offers new cars at best price with great deals. Book a new car online or request a doorstep test drive,2018,Unknown
HalaPlay Technologies,"Digital Entertainment, Fantasy Sports, Sports",Series A,5000000.0,Bangalore,A daily fantasy sports platform.,2018,Unknown
PlanetSpark,"E-Learning, EdTech, Education",Seed,224000.0,Gurgaon,PlanetSpark is an after-school Maths and English learning program for pre teen kids between Grades 2nd to 7th.,2018,Unknown
WheelsEMI,—,Series B,14000000.0,Pune,"WheelsEMI is the brand name of NBFC, WheelsEMI Pvt. Ltd.",2018,Unknown
Forum for Innovation Incubation Research and Entrepreneurship,"Funding Platform, Incubators, Non Profit",Grant,1435000.0,Margão,"FiiRE, a technology business incubator helps the startup process to move from the garage to the lab.",2018,Unknown
OYO,"Hospitality, Hotel, Leisure, Travel",Series E,100000000.0,Gurgaon,OYO is an Indian hospitality startup that operates a network of budget hotels.,2018,Unknown
Quikr,"Classifieds, Internet, Marketplace, Rental Property",Debt Financing,7700000.0,Bangalore,"Quikr is a free classifieds and online marketplace that helps users sell, buy, rent, or discover anything across India.",2018,Unknown
Tabono,Sports,Seed,,Gurgaon,Tabono is a one stop environment for all your fitness solution.,2018,"Falcon Edge, DST Global, D1 Capital, Redbird Capital, Tiger Global"
LearnApp,"Banking, E-Learning, Trading Platform",Seed,280000.0,Noida,"Learnapp.co - Video courses & live classes in investing, trading, banking and finance.",2018,Unknown
Shopkirana,"E-Commerce, Mobile, Retail",Series B,2000000.0,Indore,Shopkirana connects brands and traditional retailers with the help of technology and supply chain innovation.,2018,Unknown
Fric Bergen,—,Series B,,Alwar,Fric Bergen is a leader in the specialty food industry.,2018,Unknown
Articbot,"Artificial Intelligence, Information Technology",Grant,16800.0,Kannur,Articbot is a conversational AI platform for automated customer support and lead generation,2018,Unknown
BuildSupply,"Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",Series A,3500000.0,Gurgaon,India’s most advanced ERP system for the real estate,2018,Unknown
Fusion Microfinance,"Banking, Finance, Financial Services",Series E,72800000.0,New Delhi,Fusion Microfinance Pvt. Ltd. is an NBFC registered with RBI,2018,Unknown
Any time Doctor,Software,Angel,,Chennai,Anytime Doctor is a Software company.,2018,Kalaari Capital
Go Payments,"Information Services, Information Technology",Corporate Round,,Mumbai,Go Payments was founded with the mission of assisting consumers with performing a whole host of financial services at their doorstep.,2018,Unknown
Guiddoo World,"Audio, Mobile, Tourism, Travel",Seed,800000.0,Mumbai,We build In-Destination Experiences!,2018,Unknown
ION Energy,"Energy, Energy Storage, Infrastructure",Series B,1041000.0,Mumbai,A stealth startup building a layer of infrastructure for highly efficient energy storage systems.,2018,Unknown
UnoTag,AI,Pre-Seed,100000.0,Bangalore,SaaS to verify counterfeit,2018,Alpha Wave incubation
CivilCops,"Government, Information Technology, Software",Pre-Seed,100000.0,Gurgaon,Gov-Tech,2018,Unknown
Rockmetric,Information Technology,Grant,,Mumbai,"Smarter analytics to understand how each customer uses your product. Drive growth in conversion, retention and engagement.",2018,"FMC, Omnivore, Blume Ventures"
Classworks India,"Education, Information Technology, Internet, Mobile, Software",Undisclosed,1400.0,Chennai,"Saas, Web App, Mobile App, School Education",2018,Unknown
Snapmint,"Consumer Lending, Financial Services, Lending, Personal Finance",Seed,,Mumbai,"Snapmint facilitates simplified, fairly-priced and hassle-free EMI options without a Credit Card.",2018,Unknown
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,15000.0,Bangalore,Ai platform for Art and Creative Community,2018,Unknown
Survaider,"Business Intelligence, Customer Service, Market Research, SaaS",Seed,500000.0,Bangalore,Stethoscope for customer feedback !,2018,Unknown
Credy,"Credit, Financial Services, FinTech, Lending",Seed,1400000.0,Bangalore,Credy is a fintech platform that connects borrowers seeking capital with lenders seeking market beating returns.,2018,Unknown
iChamp,E-learning,Seed,5000000.0,Gurgaon,iChamp is an e education innovation product from RNM E-Services Pvt Ltd.,2018,Inflection Point Ventures
Qandle,Software,Seed,1200000.0,Gurgaon,A cloud-based HR management and employee engagement platform.,2018,Kalaari Capital
Avishkaar Box,"Children, Education, Parenting",Seed,700000.0,Delhi,"Avishkaar Box is just not another box full of material rather it is a well researched, thought through solution",2018,Unknown
Gegadyne Energy,"Automotive, Battery, Energy, Energy Storage",Angel,,Mumbai,A Mumbai-based startup Electric Vehicle (EV) & Energy Storage company.,2018,Unknown
HyperXchange,"E-Commerce, Mobile, Sharing Economy",Series A,1000000.0,Pune,hyperXchange is India's fastest growing O2O marketplace for premium refurb gadgets,2018,Unknown
Deftouch,—,Seed,,Bangalore,Deftouch is a mobile game development company that currently focuses on winning the Cricket gaming market with a social multiplayer game.,2018,Unknown
Doodhwala,"Food Delivery, Organic, Organic Food",Seed,2200000.0,Bangalore,Doodhwala is an online milk delivery startup that offers over 70 varieties of milk along with a plan based on clients' requirement.,2018,Unknown
DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018,Unknown
FastFox,Rental,Series A,1400000.0,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,Avon Cycles
BuyForexOnline,Travel,,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018,Anthill Ventures
Colive.in,Consumer,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018,Unknown
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018,Unknown
Corefactors,—,Seed,,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,Unknown
Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018,Unknown
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bangalore,Bengaluru based biotech startup.,2018,"Accel, LetsVenture, 1Crowd"
